Superhero,Universe,alignment,combat,durability,gender,id,identity,intelligence,power,race,speed,strength
A-Bomb,Marvel Comics,Good,80,100,Male,1,Richard Milhouse Jones,80,100,Human,80,100
Abe Sapien,Dark Horse Comics,Good,85,65,Male,2,Abraham Sapien,95,100,Icthyo Sapien,35,30
Abomination,Marvel Comics,Bad,95,90,Male,3,Emil Blonsky,85,100,Human / Radiation,80,100
Abra Kadabra (CW),DC Comics,Bad,55,30,Male,4,Unknown,100,100,Human,20,10
Abraxas,Marvel Comics,Bad,100,100,Male,5,Abraxas,100,100,Cosmic Entity,100,100
Absorbing Man (MCU),Marvel Comics,Good,85,40,Male,6,Carl Creel,75,100,Human,30,15
Absorbing Man,Marvel Comics,Bad,65,100,Male,7,Carl Creel,70,100,Human,25,80
Adam Strange,DC Comics,Good,70,40,Male,8,Adam Strange,90,55,Human,35,10
Agent 13 (MCU),Marvel Comics,Good,100,50,Female,9,Sharon Carter,95,45,Human,70,20
Agent Bob,Marvel Comics,Good,20,5,Male,10,Bob,60,5,Human,15,10
Agent Carter,Marvel Comics,Good,75,20,Male,11,Carter,95,25,Human,15,10
Agent Coulson (Destroyer Gun),Marvel Comics,Good,50,10,Male,12,Coulson,100,60,Human,10,10
Agent Coulson (MCU),Marvel Comics,Good,75,30,Male,13,Phillip J. Coulson,95,40,Human,25,10
Agent May (MCU),Marvel Comics,Good,60,25,Female,14,Melinda May,95,30,Human,25,10
Ajax,Marvel Comics,Bad,55,80,Male,15,Francis,80,35,Cyborg,35,50
Akita,Lego,Good,70,15,Female,16,Akita,80,70,Human,45,10
Alex Mercer,Wildstorm,Bad,50,90,Male,17,Alexander J. Mercer,75,100,Human,40,80
Alfred (DCEU),DC Comics,Good,20,10,Male,18,Alfred Pennyworth,95,15,Human,10,10
Alfred Pennyworth,DC Comics,Good,55,10,Male,19,Alfred Thaddeus Crane Pennyworth,80,5,Human,15,10
Alien,Dark Horse Comics,Bad,60,90,Male,20,Xenomorph,75,55,Xenomorph XX121,40,30
Alucard,Dark Horse Comics,Bad,80,85,Male,21,Dracula,80,100,Demon,100,70
Amadeus Cho,Marvel Comics,Good,35,20,Male,22,Amadeus Cho,100,20,Human,20,10
Angel Dust,Marvel Comics,Good,30,40,Female,23,Christina,70,15,Mutant,25,55
Angel Salvadore (FOX),Marvel Comics,Bad,55,20,Female,24,Angel Salvadore,65,60,Mutant,60,10
Angel,Dark Horse Comics,Good,75,90,Male,25,Liam,90,100,Vampire,60,30
Animal Man,DC Comics,Good,80,85,Male,26,Bernhard Baker,80,75,Human,45,50
Ant-Man II,Marvel Comics,Good,30,40,Male,27,Scott Lang,90,55,Human,15,20
Ant-Man (MCU),Marvel Comics,Good,80,60,Male,28,Hank Pym,100,65,Human,50,35
Ant-Man,Marvel Comics,Good,30,30,Male,29,Hank Pym,100,30,Human,25,20
Anti-Monitor,DC Comics,Bad,90,100,Male,30,Mobius,95,100,God / Eternal,50,100
Aqualad,DC Comics,Good,60,75,Male,31,Garth,80,90,Atlantean,40,45
Aquaman (Injustice),DC Comics,Good,85,80,Male,32,Arthur Curry,85,100,Atlantean,75,75
Ardina,Marvel Comics,Good,25,80,Female,33,Ardina,80,100,Alien,100,100
Arnim Zola (MCU),Marvel Comics,Bad,20,15,Male,34,Arnim Zola,100,10,Human,10,5
Arno Victor Dorian,Ubisoft,Good,100,45,Male,35,Arno Dorian,85,90,Human / Altered,40,10
Ash,Lego,Good,100,80,Male,36,Ash,90,100,Human,60,25
Atom (CW),DC Comics,Good,85,75,Male,37,Ray Palmer,100,100,Human,70,35
Atom II,DC Comics,Good,60,45,Male,38,Ray Palmer,95,40,Human,35,10
Atom Smasher (CW),DC Comics,Bad,65,85,Male,39,Al Rothstein,60,80,Metahuman,65,75
Atomica,DC Comics,Bad,70,20,Female,40,Rhonda Pineda,80,40,Human,30,10
Aurora,Marvel Comics,Good,55,60,Female,41,Jeanne-Marie Beaubier,80,85,Mutant,95,10
Azrael (Gotham),DC Comics,Bad,95,75,Male,42,Theo Galavan,95,60,Human,55,40
Aztar,DC Comics,Good,80,100,Male,43,Aztar,100,100,Cosmic Entity,100,100
Bane (Dark Knight),DC Comics,Bad,90,60,Male,44,Unknown,95,65,Human,25,30
Banshee,Marvel Comics,Good,70,40,Male,45,Sean Cassidy,75,65,Human,60,10
Baron Mordo (MCU),Marvel Comics,Bad,90,60,Male,46,Karl Mordo,100,100,Human,65,30
Baron Zemo (MCU),Marvel Comics,Bad,100,50,Male,47,Helmut J. Zemo,100,30,Human,50,30
Baron Zemo,Marvel Comics,Bad,80,65,Male,48,Helmut Zemo,90,80,Human,20,50
Batgirl III,DC Comics,Good,95,45,Male,49,Helena Rosa Bertinelli,95,40,Human,50,20
Batgirl (Injustice),DC Comics,Good,100,50,Female,50,Barbara Gordon,100,50,Human,45,15
Batgirl IV,DC Comics,Good,100,55,Female,51,Cassandra Cain,85,45,Human,25,10
Batman (Arkham),DC Comics,Good,100,100,Male,52,Bruce Wayne,100,95,Human,55,20
Batman (Burtonverse),DC Comics,Good,90,40,Male,53,Bruce Wayne,90,40,Human,25,15
Batman (GAM),DC Comics,Good,85,75,Male,54,Kirk Langstrom,100,75,Vampire,60,30
Batman II,DC Comics,Good,100,30,Male,55,Dick Grayson,95,35,Human,35,10
Batman (Injustice),DC Comics,Good,100,55,Male,56,Bruce Wayne,100,55,Human,45,25
Batman (LEGO),Lego,Good,85,40,Male,57,Bruce Wayne,75,60,Human,25,20
Batroc The Leaper (MCU),Marvel Comics,Bad,100,40,Male,58,Georges Batroc,75,35,Human,45,15
Battle-Suit Batman (DCEU),DC Comics,Good,95,75,Male,59,Bruce Wayne,100,75,Human,50,80
Batwoman V,DC Comics,Good,80,25,Female,60,Katherine Rebecca Kane,90,25,Human,30,10
Batwoman,DC Comics,Good,85,30,Female,61,Helena Wayne,90,40,Human,30,15
Beast Boy (Titans),DC Comics,Good,65,45,Male,62,Garfield Logan,75,65,Human,60,30
Beast Boy,DC Comics,Good,40,70,Male,63,Garfield Mark Logan,75,80,Human,50,30
Beetle,Marvel Comics,Bad,65,50,Male,64,Abner Jenkins,95,55,Human,50,30
Beta Ray Bill,Marvel Comics,Good,85,95,Male,65,Beta Ray Bill,80,100,Leprechaun,35,80
Big Barda,DC Comics,Bad,100,100,Female,66,Barda Free,95,100,New God,80,100
Bird-Man,Marvel Comics,Bad,0,0,Male,67,Henry Hawk,0,5,Human,0,0
Bird,DC Comics,Bad,80,10,Male,68,Birdy Colossimo,90,15,Human,15,10
Bishop (Fox),Marvel Comics,Good,70,70,Male,69,Lucas Bishop,80,80,Mutant,30,15
Bishop,Marvel Comics,Good,65,75,Male,70,Lucas Bishop,80,100,Mutant,25,15
Bizarro,DC Comics,Neutral,85,100,Male,71,Bizarro,70,100,Bizarro,100,95
Black Bolt (MCU),Marvel Comics,Good,85,50,Male,72,Blackagar Boltagon,85,75,Inhuman,30,30
Black Bolt,Marvel Comics,Good,55,85,Male,73,Blackagar Boltagon,90,100,Inhuman,100,65
Black Canary (CW),DC Comics,Good,85,35,Female,74,Laurel Lance,85,65,Human,85,10
Black Canary II (CW),DC Comics,Good,100,45,Female,75,Dinah Drake,90,50,Human,50,20
Black Canary (Injustice),DC Comics,Good,100,45,Female,76,Dinah Laurel Lance,95,50,Metahuman,50,20
Black Canary,DC Comics,Good,80,20,Female,77,Laurel Lance,80,50,Metahuman,35,10
Black Cat (PS4),Marvel Comics,Neutral,80,30,Female,78,Felicia Hardy,80,45,Human,65,10
Black Cat,Marvel Comics,Good,70,10,Female,79,Felicia Hardy,90,25,Human,35,15
Black Knight III,Marvel Comics,Good,70,70,Male,80,Dane Whitman,80,45,Human,10,10
Black Manta (DCEU),DC Comics,Bad,85,55,Male,81,David Kane,85,75,Human,55,45
Blade,Marvel Comics,Good,90,50,Male,82,Eric Brooks,80,40,Vampire,40,30
Blink,Marvel Comics,Good,65,30,Female,83,Clarice Ferguson,75,75,Mutant,20,10
Blob (FOX),Marvel Comics,Bad,50,85,Male,84,Fred Dukes,80,45,Mutant,30,30
Bloodaxe,Marvel Comics,Bad,85,80,Female,85,Jackie Lukus,80,100,Human,35,80
Bloodhawk,Marvel Comics,Good,65,80,Male,86,Lemuel Krug,75,80,Mutant,50,10
Blue Beetle II,DC Comics,Good,90,60,Male,87,Theodore Kord,95,70,Human,50,55
Blue Beetle (Injustice),DC Comics,Good,70,85,Male,88,Jaime Reyes,75,100,Human,90,35
Boom-Boom,Marvel Comics,Good,65,40,Female,89,Tabitha Smith,70,55,Mutant,10,10
Bor Burison,Marvel Comics,Neutral,100,100,Male,90,Bor Burison,75,100,Asgardian,100,100
Brainiac,DC Comics,Bad,75,90,Male,91,Vril Dox,100,65,Android,65,95
Brother Voodoo,Marvel Comics,Good,85,60,Male,92,Jericho Drumm,95,90,Human,55,15
Buffy,Dark Horse Comics,Good,60,70,Female,93,Buffy Anne Summers,80,50,Human,40,30
Bullseye,Marvel Comics,Bad,70,70,Male,94,Lester,75,20,Human,25,10
Bumblebee,Hasbro,Good,95,75,Male,95,Bumblebee,85,75,Robot,60,55
Buri,Marvel Comics,Neutral,100,90,Male,96,Buri,100,100,Asgardian,90,100
Bushmaster (MCU),Marvel Comics,Bad,95,70,Male,97,John Mclver,85,65,Human,60,55
Butterball,Clive Barker,Good,50,100,Male,98,Emery Schaub,90,100,Human,25,10
Cable (FOX),Marvel Comics,Bad,70,60,Male,99,Nathan Summers,65,100,Cyborg,80,55
Cable,Marvel Comics,Good,80,55,Male,100,Nathan Summers,95,100,Mutant,25,50
Captain Boomerang (CW),DC Comics,Bad,90,35,Male,101,Digger Harkness,85,45,Human,35,15
Captain Boomerang (DCEU),DC Comics,Bad,80,40,Male,102,Digger Harkness,85,40,Human,25,15
Captain Boomerang,DC Comics,Bad,80,40,Male,103,George Harkness,60,40,Human,40,15
Captain Britain,Marvel Comics,Good,80,60,Male,104,Brian Braddock,90,30,Human,50,75
Captain Hindsight,South Park,Good,20,30,Male,105,Jack Brolin,65,10,Human,85,10
Captain Mar-vell,Marvel Comics,Good,85,90,Male,106,Genis-Vell,85,100,Kree,90,95
Captain Metropolis,DC Comics,Good,80,40,Male,107,Nelson Gardner,85,45,Human,25,20
Catwoman (Injustice),DC Comics,Bad,100,45,Female,108,Selina Kyle,95,50,Human,50,10
Catwoman,DC Comics,Bad,85,30,Female,109,Selina Kyle,85,45,Human,25,10
Caulifla,Shueisha,Neutral,100,100,Female,110,Caulifla,80,100,Saiyan,100,100
Cerebra,Marvel Comics,Good,0,0,Female,111,Shakti Haddad,0,5,Mutant,0,0
Chamber,Marvel Comics,Good,65,80,Male,112,Jonothon Evan Starsmore,75,55,Mutant,20,10
Champion Of The Universe,Marvel Comics,Neutral,100,100,Male,113,Tryco Slatterus,50,100,Elder,75,100
Cheetah II,DC Comics,Bad,60,20,Female,114,Deborah Domaine,70,40,Human,40,20
Cheetah III,DC Comics,Bad,95,80,Female,115,Barbara Minerva,95,80,Human,90,100
Cheshire,DC Comics,Bad,100,50,Female,116,Jade Nguyen,90,50,Human,35,10
Citizen Steel (CW),DC Comics,Good,80,100,Male,117,Nate Heywood,95,70,Metahuman,35,90
Cole (The LEGO Ninjago Movie),Lego,Good,100,30,Male,118,Cole,85,100,Human,25,25
Collector,Marvel Comics,Bad,75,60,Male,119,Taneleer Tivan,95,100,Elder,30,50
Colossus,Marvel Comics,Good,80,100,Male,120,Peter Rasputin,80,45,Mutant,35,85
Connor Hawke,DC Comics,Good,95,40,Male,121,Connor Hawke,90,55,Human,35,10
Connor Kenway,Ubisoft,Good,100,40,Male,122,Ratonhnhaké:ton,90,70,Human,40,10
Constantine (CW),DC Comics,Good,70,30,Male,123,John Constantine,95,100,Human,25,10
Copycat,Marvel Comics,Neutral,60,25,Female,124,Vanessa Carlysle,80,55,Mutant,20,10
Corvus Glaive (MCU),Marvel Comics,Bad,90,70,Male,125,Corvus Glaive,70,65,Alien,65,65
Cosmo The Spacedog,Marvel Comics,Good,55,45,Male,126,Cosmo,90,100,Animal,30,15
Cottonmouth,Marvel Comics,Bad,25,10,Male,127,Burchell Clemens,75,25,Human,10,10
Crystal (MCU),Marvel Comics,Good,80,20,Female,128,Crystalia Amaquelin,85,80,Inhuman,25,10
Crystal,Marvel Comics,Good,55,15,Female,129,Crystallia Amaquelin,80,60,Inhuman,10,15
Cull Obsidian (MCU),Marvel Comics,Bad,95,85,Male,130,Cull Obsidian,60,85,Alien,60,90
Cyborg (Sonar Suit),Lego,Good,60,60,Male,131,Victor Stone,100,40,Cyborg,55,55
Cyborg Superman,DC Comics,Bad,80,100,Male,132,Henry Henshaw,90,100,Cyborg,90,95
Cyborg,DC Comics,Good,65,85,Male,133,Victor Stone,90,70,Cyborg,40,55
Cyclops (FOX),Marvel Comics,Good,55,30,Male,134,Scott Summers,65,50,Mutant,30,15
Cyclops,Marvel Comics,Good,80,40,Male,135,Scott Summers,90,75,Mutant,25,10
Daken,Marvel Comics,Bad,100,80,Male,136,Akihiro,85,100,Mutant,50,15
Dark Archer (CW),DC Comics,Neutral,100,50,Male,137,Malcolm Merlyn,95,50,Human,45,15
Darkhawk,Marvel Comics,Good,65,70,Male,138,Christopher Powell,75,75,Human,35,30
Darkman,Universal Studios,Good,30,60,Male,139,Peyton Westlake,95,20,Human,20,15
Darkstar,Marvel Comics,Good,65,40,Female,140,Laynia Petrovna,70,80,Mutant,35,10
Darth Maul,George Lucas,Bad,100,45,Male,141,Maul,85,100,Dathomirian Zabrak,35,50
Darth Nox,George Lucas,Bad,100,30,Female,142,Remowa Alucard,85,100,Human,100,30
Darwin (FOX),Marvel Comics,Good,70,100,Male,143,Armando Muñoz,70,100,Mutant,30,10
Dash,Dark Horse Comics,Good,30,60,Male,144,Dashiell Robert Parr,65,20,Human,90,10
Dazzler,Marvel Comics,Good,55,60,Female,145,Alison Blaire,80,100,Mutant,35,10
Deadshot (CW),DC Comics,Neutral,90,40,Male,146,Floyd Lawton,85,40,Human,40,15
Deadshot (New 52),DC Comics,Bad,90,35,Male,147,Floyd Lawton,85,40,Human,25,10
Death Of The Endless,DC Comics,Neutral,50,100,Female,148,Death,100,100,Cosmic Entity,100,100
Death Seed Archangel,Marvel Comics,Neutral,85,80,Male,149,Warren Worthington,95,100,Mutant,90,15
Deathstroke (Injustice),DC Comics,Neutral,100,70,Male,150,Slade Wilson,90,100,Human,35,30
Deathstroke (New 52),DC Comics,Neutral,100,60,Male,151,Slade Wilson,90,70,Human / Altered,45,35
Deathstroke,DC Comics,Neutral,100,65,Male,152,Slade Wilson,100,100,Human,35,30
Desmond Miles,Ubisoft,Good,90,40,Male,153,Desmond Miles,85,95,Human,30,10
Destruction Of The Endless,DC Comics,Neutral,85,100,Male,154,Destruction,100,100,Cosmic Entity,100,100
Detective Chimp,DC Comics,Good,85,85,Male,155,Bobo T. Chimpanzee,100,100,Gorilla,60,55
Devastator,DC Comics,Bad,100,100,Male,156,Bruce Wayne,100,100,Mutant,70,100
Devilman,Shueisha,Good,90,100,Male,157,Akira Fudo,90,100,Demon,100,100
Doc Green,Marvel Comics,Good,80,70,Male,158,Bruce Banner,100,100,Human,75,100
Doc Samson,Marvel Comics,Good,70,80,Male,159,Leonard Samson,90,35,Human / Radiation,35,80
Doctor Mid-Nite,DC Comics,Good,90,35,Male,160,Dr Charles Mcnider,90,55,Human / Altered,35,35
Doctor Occult,DC Comics,Good,85,90,Male,161,Unknown,100,100,Human,100,55
Doctor Octopus,Marvel Comics,Bad,65,40,Male,162,Otto Octavius,95,55,Human,35,50
Domino (FOX),Marvel Comics,Good,60,30,Female,163,Neena Thurman,80,45,Mutant,50,10
Domino,Marvel Comics,Good,75,30,Female,164,Neena Thurman,80,50,Human,25,10
Donna Troy,DC Comics,Good,85,90,Female,165,Donna Hinckley Stacey Troy,90,75,Amazon,60,90
Doomsday,DC Comics,Bad,90,100,Male,166,Doomsday,90,100,Alien,65,100
Dormammu,Marvel Comics,Bad,80,100,Male,167,Dormammu,100,100,Cosmic Entity,100,100
Dove (Titans),DC Comics,Good,95,40,Female,168,Dawn Granger,85,40,Human,45,10
Dr Manhattan,DC Comics,Good,45,100,Male,169,Jonathan Osterman,100,100,Human / Cosmic,40,100
Dracula,Konami,Bad,75,100,Male,170,Vlad Tepes Dracula,100,100,Vampire,100,100
Drax the Destroyer,Marvel Comics,Good,65,85,Male,171,Arthur Sampson Douglas,80,45,Human / Altered,25,80
Edward Kenway,Ubisoft,Good,100,40,Male,172,Edward Kenway,90,70,Human,40,10
El Diablo,DC Comics,Neutral,70,80,Male,173,Chato Santana,60,100,Human,30,20
Elastigirl,Dark Horse Comics,Good,70,95,Female,174,Helen Parr,80,50,Human,35,30
Electro (SONY),Marvel Comics,Bad,55,70,Male,175,Max Dillon,85,90,Metahuman,70,20
Electro,Marvel Comics,Bad,65,55,Male,176,Maxwell Dillon,85,65,Human,50,10
Elektra (Fox),Marvel Comics,Neutral,70,45,Female,177,Elektra Natchios,90,50,Human,50,20
Elektra,Marvel Comics,Good,100,30,Female,178,Elektra Natchios,80,60,Human,30,10
Emma Frost (FOX),Marvel Comics,Good,85,85,Female,179,Emma Grace Frost,95,90,Mutant,50,30
Emma Frost,Marvel Comics,Neutral,55,100,Female,180,Emma Frost,85,100,Mutant,70,30
Erik Killmonger,Marvel Comics,Bad,95,65,Male,181,"N'Jadaka",90,70,Human,30,15
Etrigan,DC Comics,Neutral,50,100,Male,182,Jason Blood,75,100,Demon,15,85
Evie Frye,Ubisoft,Good,100,30,Female,183,Evie Frye,90,70,Human,45,10
Evil Deadpool,Marvel Comics,Bad,100,100,Male,184,Wade Wilson,85,100,Mutant,50,30
Evilhawk,Marvel Comics,Bad,65,70,Male,185,Dargin Bokk ,75,85,Alien,35,30
Exodus,Marvel Comics,Bad,70,30,Male,186,Bennet du Paris ,80,100,Mutant,30,80
Falcon,Marvel Comics,Good,65,30,Male,187,Sam Wilson,70,20,Human,50,15
Fandral (MCU),Marvel Comics,Good,95,70,Male,188,Fandral,75,65,Asgardian,70,55
Faora,DC Comics,Bad,90,100,Female,189,Faora Hu-Ul,95,100,Kryptonian,75,95
Felix Faust,DC Comics,Bad,75,65,Male,190,Dekan Drache,85,100,God / Eternal,20,10
