id,Universe,Superhero,identity,gender,race,alignment,intelligence,strength,speed,durability,power,combat
1,Marvel Comics,A-Bomb,Richard Milhouse Jones,Male,Human,Good,80,100,80,100,100,80
2,Dark Horse Comics,Abe Sapien,Abraham Sapien,Male,Icthyo Sapien,Good,95,30,35,65,100,85
3,Marvel Comics,Abomination,Emil Blonsky,Male,Human / Radiation,Bad,85,100,80,90,100,95
4,DC Comics,Abra Kadabra (CW),Unknown,Male,Human,Bad,100,10,20,30,100,55
5,Marvel Comics,Abraxas,Abraxas,Male,Cosmic Entity,Bad,100,100,100,100,100,100
6,Marvel Comics,Absorbing Man (MCU),Carl Creel,Male,Human,Good,75,15,30,40,100,85
7,Marvel Comics,Absorbing Man,Carl Creel,Male,Human,Bad,70,80,25,100,100,65
8,DC Comics,Adam Strange,Adam Strange,Male,Human,Good,90,10,35,40,55,70
9,Marvel Comics,Agent 13 (MCU),Sharon Carter,Female,Human,Good,95,20,70,50,45,100
10,Marvel Comics,Agent Bob,Bob,Male,Human,Good,60,10,15,5,5,20
11,Marvel Comics,Agent Carter,Carter,Male,Human,Good,95,10,15,20,25,75
12,Marvel Comics,Agent Coulson (Destroyer Gun),Coulson,Male,Human,Good,100,10,10,10,60,50
13,Marvel Comics,Agent Coulson (MCU),Phillip J. Coulson,Male,Human,Good,95,10,25,30,40,75
14,Marvel Comics,Agent May (MCU),Melinda May,Female,Human,Good,95,10,25,25,30,60
15,Marvel Comics,Ajax,Francis,Male,Cyborg,Bad,80,50,35,80,35,55
16,Lego,Akita,Akita,Female,Human,Good,80,10,45,15,70,70
17,Wildstorm,Alex Mercer,Alexander J. Mercer,Male,Human,Bad,75,80,40,90,100,50
18,DC Comics,Alfred (DCEU),Alfred Pennyworth,Male,Human,Good,95,10,10,10,15,20
19,DC Comics,Alfred Pennyworth,Alfred Thaddeus Crane Pennyworth,Male,Human,Good,80,10,15,10,5,55
20,Dark Horse Comics,Alien,Xenomorph,Male,Xenomorph XX121,Bad,75,30,40,90,55,60
21,Dark Horse Comics,Alucard,Dracula,Male,Demon,Bad,80,70,100,85,100,80
22,Marvel Comics,Amadeus Cho,Amadeus Cho,Male,Human,Good,100,10,20,20,20,35
23,Marvel Comics,Angel Dust,Christina,Female,Mutant,Good,70,55,25,40,15,30
24,Marvel Comics,Angel Salvadore (FOX),Angel Salvadore,Female,Mutant,Bad,65,10,60,20,60,55
25,Dark Horse Comics,Angel,Liam,Male,Vampire,Good,90,30,60,90,100,75
26,DC Comics,Animal Man,Bernhard Baker,Male,Human,Good,80,50,45,85,75,80
27,Marvel Comics,Ant-Man II,Scott Lang,Male,Human,Good,90,20,15,40,55,30
28,Marvel Comics,Ant-Man (MCU),Hank Pym,Male,Human,Good,100,35,50,60,65,80
29,Marvel Comics,Ant-Man,Hank Pym,Male,Human,Good,100,20,25,30,30,30
30,DC Comics,Anti-Monitor,Mobius,Male,God / Eternal,Bad,95,100,50,100,100,90
31,DC Comics,Aqualad,Garth,Male,Atlantean,Good,80,45,40,75,90,60
32,DC Comics,Aquaman (Injustice),Arthur Curry,Male,Atlantean,Good,85,75,75,80,100,85
33,Marvel Comics,Ardina,Ardina,Female,Alien,Good,80,100,100,80,100,25
34,Marvel Comics,Arnim Zola (MCU),Arnim Zola,Male,Human,Bad,100,5,10,15,10,20
35,Ubisoft,Arno Victor Dorian,Arno Dorian,Male,Human / Altered,Good,85,10,40,45,90,100
36,Lego,Ash,Ash,Male,Human,Good,90,25,60,80,100,100
37,DC Comics,Atom (CW),Ray Palmer,Male,Human,Good,100,35,70,75,100,85
38,DC Comics,Atom II,Ray Palmer,Male,Human,Good,95,10,35,45,40,60
39,DC Comics,Atom Smasher (CW),Al Rothstein,Male,Metahuman,Bad,60,75,65,85,80,65
40,DC Comics,Atomica,Rhonda Pineda,Female,Human,Bad,80,10,30,20,40,70
41,Marvel Comics,Aurora,Jeanne-Marie Beaubier,Female,Mutant,Good,80,10,95,60,85,55
42,DC Comics,Azrael (Gotham),Theo Galavan,Male,Human,Bad,95,40,55,75,60,95
43,DC Comics,Aztar,Aztar,Male,Cosmic Entity,Good,100,100,100,100,100,80
44,DC Comics,Bane (Dark Knight),Unknown,Male,Human,Bad,95,30,25,60,65,90
45,Marvel Comics,Banshee,Sean Cassidy,Male,Human,Good,75,10,60,40,65,70
46,Marvel Comics,Baron Mordo (MCU),Karl Mordo,Male,Human,Bad,100,30,65,60,100,90
47,Marvel Comics,Baron Zemo (MCU),Helmut J. Zemo,Male,Human,Bad,100,30,50,50,30,100
48,Marvel Comics,Baron Zemo,Helmut Zemo,Male,Human,Bad,90,50,20,65,80,80
49,DC Comics,Batgirl III,Helena Rosa Bertinelli,Male,Human,Good,95,20,50,45,40,95
50,DC Comics,Batgirl (Injustice),Barbara Gordon,Female,Human,Good,100,15,45,50,50,100
51,DC Comics,Batgirl IV,Cassandra Cain,Female,Human,Good,85,10,25,55,45,100
52,DC Comics,Batman (Arkham),Bruce Wayne,Male,Human,Good,100,20,55,100,95,100
53,DC Comics,Batman (Burtonverse),Bruce Wayne,Male,Human,Good,90,15,25,40,40,90
54,DC Comics,Batman (GAM),Kirk Langstrom,Male,Vampire,Good,100,30,60,75,75,85
55,DC Comics,Batman II,Dick Grayson,Male,Human,Good,95,10,35,30,35,100
56,DC Comics,Batman (Injustice),Bruce Wayne,Male,Human,Good,100,25,45,55,55,100
57,Lego,Batman (LEGO),Bruce Wayne,Male,Human,Good,75,20,25,40,60,85
58,Marvel Comics,Batroc The Leaper (MCU),Georges Batroc,Male,Human,Bad,75,15,45,40,35,100
59,DC Comics,Battle-Suit Batman (DCEU),Bruce Wayne,Male,Human,Good,100,80,50,75,75,95
60,DC Comics,Batwoman V,Katherine Rebecca Kane,Female,Human,Good,90,10,30,25,25,80
61,DC Comics,Batwoman,Helena Wayne,Female,Human,Good,90,15,30,30,40,85
62,DC Comics,Beast Boy (Titans),Garfield Logan,Male,Human,Good,75,30,60,45,65,65
63,DC Comics,Beast Boy,Garfield Mark Logan,Male,Human,Good,75,30,50,70,80,40
64,Marvel Comics,Beetle,Abner Jenkins,Male,Human,Bad,95,30,50,50,55,65
65,Marvel Comics,Beta Ray Bill,Beta Ray Bill,Male,Leprechaun,Good,80,80,35,95,100,85
66,DC Comics,Big Barda,Barda Free,Female,New God,Bad,95,100,80,100,100,100
67,Marvel Comics,Bird-Man,Henry Hawk,Male,Human,Bad,0,0,0,0,5,0
68,DC Comics,Bird,Birdy Colossimo,Male,Human,Bad,90,10,15,10,15,80
69,Marvel Comics,Bishop (Fox),Lucas Bishop,Male,Mutant,Good,80,15,30,70,80,70
70,Marvel Comics,Bishop,Lucas Bishop,Male,Mutant,Good,80,15,25,75,100,65
71,DC Comics,Bizarro,Bizarro,Male,Bizarro,Neutral,70,95,100,100,100,85
72,Marvel Comics,Black Bolt (MCU),Blackagar Boltagon,Male,Inhuman,Good,85,30,30,50,75,85
73,Marvel Comics,Black Bolt,Blackagar Boltagon,Male,Inhuman,Good,90,65,100,85,100,55
74,DC Comics,Black Canary (CW),Laurel Lance,Female,Human,Good,85,10,85,35,65,85
75,DC Comics,Black Canary II (CW),Dinah Drake,Female,Human,Good,90,20,50,45,50,100
76,DC Comics,Black Canary (Injustice),Dinah Laurel Lance,Female,Metahuman,Good,95,20,50,45,50,100
77,DC Comics,Black Canary,Laurel Lance,Female,Metahuman,Good,80,10,35,20,50,80
78,Marvel Comics,Black Cat (PS4),Felicia Hardy,Female,Human,Neutral,80,10,65,30,45,80
79,Marvel Comics,Black Cat,Felicia Hardy,Female,Human,Good,90,15,35,10,25,70
80,Marvel Comics,Black Knight III,Dane Whitman,Male,Human,Good,80,10,10,70,45,70
81,DC Comics,Black Manta (DCEU),David Kane,Male,Human,Bad,85,45,55,55,75,85
82,Marvel Comics,Blade,Eric Brooks,Male,Vampire,Good,80,30,40,50,40,90
83,Marvel Comics,Blink,Clarice Ferguson,Female,Mutant,Good,75,10,20,30,75,65
84,Marvel Comics,Blob (FOX),Fred Dukes,Male,Mutant,Bad,80,30,30,85,45,50
85,Marvel Comics,Bloodaxe,Jackie Lukus,Female,Human,Bad,80,80,35,80,100,85
86,Marvel Comics,Bloodhawk,Lemuel Krug,Male,Mutant,Good,75,10,50,80,80,65
87,DC Comics,Blue Beetle II,Theodore Kord,Male,Human,Good,95,55,50,60,70,90
88,DC Comics,Blue Beetle (Injustice),Jaime Reyes,Male,Human,Good,75,35,90,85,100,70
89,Marvel Comics,Boom-Boom,Tabitha Smith,Female,Mutant,Good,70,10,10,40,55,65
90,Marvel Comics,Bor Burison,Bor Burison,Male,Asgardian,Neutral,75,100,100,100,100,100
91,DC Comics,Brainiac,Vril Dox,Male,Android,Bad,100,95,65,90,65,75
92,Marvel Comics,Brother Voodoo,Jericho Drumm,Male,Human,Good,95,15,55,60,90,85
93,Dark Horse Comics,Buffy,Buffy Anne Summers,Female,Human,Good,80,30,40,70,50,60
94,Marvel Comics,Bullseye,Lester,Male,Human,Bad,75,10,25,70,20,70
95,Hasbro,Bumblebee,Bumblebee,Male,Robot,Good,85,55,60,75,75,95
96,Marvel Comics,Buri,Buri,Male,Asgardian,Neutral,100,100,90,90,100,100
97,Marvel Comics,Bushmaster (MCU),John Mclver,Male,Human,Bad,85,55,60,70,65,95
98,Clive Barker,Butterball,Emery Schaub,Male,Human,Good,90,10,25,100,100,50
99,Marvel Comics,Cable (FOX),Nathan Summers,Male,Cyborg,Bad,65,55,80,60,100,70
100,Marvel Comics,Cable,Nathan Summers,Male,Mutant,Good,95,50,25,55,100,80
101,DC Comics,Captain Boomerang (CW),Digger Harkness,Male,Human,Bad,85,15,35,35,45,90
102,DC Comics,Captain Boomerang (DCEU),Digger Harkness,Male,Human,Bad,85,15,25,40,40,80
103,DC Comics,Captain Boomerang,George Harkness,Male,Human,Bad,60,15,40,40,40,80
104,Marvel Comics,Captain Britain,Brian Braddock,Male,Human,Good,90,75,50,60,30,80
105,South Park,Captain Hindsight,Jack Brolin,Male,Human,Good,65,10,85,30,10,20
106,Marvel Comics,Captain Mar-vell,Genis-Vell,Male,Kree,Good,85,95,90,90,100,85
107,DC Comics,Captain Metropolis,Nelson Gardner,Male,Human,Good,85,20,25,40,45,80
108,DC Comics,Catwoman (Injustice),Selina Kyle,Female,Human,Bad,95,10,50,45,50,100
109,DC Comics,Catwoman,Selina Kyle,Female,Human,Bad,85,10,25,30,45,85
110,Shueisha,Caulifla,Caulifla,Female,Saiyan,Neutral,80,100,100,100,100,100
111,Marvel Comics,Cerebra,Shakti Haddad,Female,Mutant,Good,0,0,0,0,5,0
112,Marvel Comics,Chamber,Jonothon Evan Starsmore,Male,Mutant,Good,75,10,20,80,55,65
113,Marvel Comics,Champion Of The Universe,Tryco Slatterus,Male,Elder,Neutral,50,100,75,100,100,100
114,DC Comics,Cheetah II,Deborah Domaine,Female,Human,Bad,70,20,40,20,40,60
115,DC Comics,Cheetah III,Barbara Minerva,Female,Human,Bad,95,100,90,80,80,95
116,DC Comics,Cheshire,Jade Nguyen,Female,Human,Bad,90,10,35,50,50,100
117,DC Comics,Citizen Steel (CW),Nate Heywood,Male,Metahuman,Good,95,90,35,100,70,80
118,Lego,Cole (The LEGO Ninjago Movie),Cole,Male,Human,Good,85,25,25,30,100,100
119,Marvel Comics,Collector,Taneleer Tivan,Male,Elder,Bad,95,50,30,60,100,75
120,Marvel Comics,Colossus,Peter Rasputin,Male,Mutant,Good,80,85,35,100,45,80
121,DC Comics,Connor Hawke,Connor Hawke,Male,Human,Good,90,10,35,40,55,95
122,Ubisoft,Connor Kenway,Ratonhnhaké:ton,Male,Human,Good,90,10,40,40,70,100
123,DC Comics,Constantine (CW),John Constantine,Male,Human,Good,95,10,25,30,100,70
124,Marvel Comics,Copycat,Vanessa Carlysle,Female,Mutant,Neutral,80,10,20,25,55,60
125,Marvel Comics,Corvus Glaive (MCU),Corvus Glaive,Male,Alien,Bad,70,65,65,70,65,90
126,Marvel Comics,Cosmo The Spacedog,Cosmo,Male,Animal,Good,90,15,30,45,100,55
127,Marvel Comics,Cottonmouth,Burchell Clemens,Male,Human,Bad,75,10,10,10,25,25
128,Marvel Comics,Crystal (MCU),Crystalia Amaquelin,Female,Inhuman,Good,85,10,25,20,80,80
129,Marvel Comics,Crystal,Crystallia Amaquelin,Female,Inhuman,Good,80,15,10,15,60,55
130,Marvel Comics,Cull Obsidian (MCU),Cull Obsidian,Male,Alien,Bad,60,90,60,85,85,95
131,Lego,Cyborg (Sonar Suit),Victor Stone,Male,Cyborg,Good,100,55,55,60,40,60
132,DC Comics,Cyborg Superman,Henry Henshaw,Male,Cyborg,Bad,90,95,90,100,100,80
133,DC Comics,Cyborg,Victor Stone,Male,Cyborg,Good,90,55,40,85,70,65
134,Marvel Comics,Cyclops (FOX),Scott Summers,Male,Mutant,Good,65,15,30,30,50,55
135,Marvel Comics,Cyclops,Scott Summers,Male,Mutant,Good,90,10,25,40,75,80
136,Marvel Comics,Daken,Akihiro,Male,Mutant,Bad,85,15,50,80,100,100
137,DC Comics,Dark Archer (CW),Malcolm Merlyn,Male,Human,Neutral,95,15,45,50,50,100
138,Marvel Comics,Darkhawk,Christopher Powell,Male,Human,Good,75,30,35,70,75,65
139,Universal Studios,Darkman,Peyton Westlake,Male,Human,Good,95,15,20,60,20,30
140,Marvel Comics,Darkstar,Laynia Petrovna,Female,Mutant,Good,70,10,35,40,80,65
141,George Lucas,Darth Maul,Maul,Male,Dathomirian Zabrak,Bad,85,50,35,45,100,100
142,George Lucas,Darth Nox,Remowa Alucard,Female,Human,Bad,85,30,100,30,100,100
143,Marvel Comics,Darwin (FOX),Armando Muñoz,Male,Mutant,Good,70,10,30,100,100,70
144,Dark Horse Comics,Dash,Dashiell Robert Parr,Male,Human,Good,65,10,90,60,20,30
145,Marvel Comics,Dazzler,Alison Blaire,Female,Mutant,Good,80,10,35,60,100,55
146,DC Comics,Deadshot (CW),Floyd Lawton,Male,Human,Neutral,85,15,40,40,40,90
147,DC Comics,Deadshot (New 52),Floyd Lawton,Male,Human,Bad,85,10,25,35,40,90
148,DC Comics,Death Of The Endless,Death,Female,Cosmic Entity,Neutral,100,100,100,100,100,50
149,Marvel Comics,Death Seed Archangel,Warren Worthington,Male,Mutant,Neutral,95,15,90,80,100,85
150,DC Comics,Deathstroke (Injustice),Slade Wilson,Male,Human,Neutral,90,30,35,70,100,100
151,DC Comics,Deathstroke (New 52),Slade Wilson,Male,Human / Altered,Neutral,90,35,45,60,70,100
152,DC Comics,Deathstroke,Slade Wilson,Male,Human,Neutral,100,30,35,65,100,100
153,Ubisoft,Desmond Miles,Desmond Miles,Male,Human,Good,85,10,30,40,95,90
154,DC Comics,Destruction Of The Endless,Destruction,Male,Cosmic Entity,Neutral,100,100,100,100,100,85
155,DC Comics,Detective Chimp,Bobo T. Chimpanzee,Male,Gorilla,Good,100,55,60,85,100,85
156,DC Comics,Devastator,Bruce Wayne,Male,Mutant,Bad,100,100,70,100,100,100
157,Shueisha,Devilman,Akira Fudo,Male,Demon,Good,90,100,100,100,100,90
158,Marvel Comics,Doc Green,Bruce Banner,Male,Human,Good,100,100,75,70,100,80
159,Marvel Comics,Doc Samson,Leonard Samson,Male,Human / Radiation,Good,90,80,35,80,35,70
160,DC Comics,Doctor Mid-Nite,Dr Charles Mcnider,Male,Human / Altered,Good,90,35,35,35,55,90
161,DC Comics,Doctor Occult,Unknown,Male,Human,Good,100,55,100,90,100,85
162,Marvel Comics,Doctor Octopus,Otto Octavius,Male,Human,Bad,95,50,35,40,55,65
163,Marvel Comics,Domino (FOX),Neena Thurman,Female,Mutant,Good,80,10,50,30,45,60
164,Marvel Comics,Domino,Neena Thurman,Female,Human,Good,80,10,25,30,50,75
165,DC Comics,Donna Troy,Donna Hinckley Stacey Troy,Female,Amazon,Good,90,90,60,90,75,85
166,DC Comics,Doomsday,Doomsday,Male,Alien,Bad,90,100,65,100,100,90
167,Marvel Comics,Dormammu,Dormammu,Male,Cosmic Entity,Bad,100,100,100,100,100,80
168,DC Comics,Dove (Titans),Dawn Granger,Female,Human,Good,85,10,45,40,40,95
169,DC Comics,Dr Manhattan,Jonathan Osterman,Male,Human / Cosmic,Good,100,100,40,100,100,45
170,Konami,Dracula,Vlad Tepes Dracula,Male,Vampire,Bad,100,100,100,100,100,75
171,Marvel Comics,Drax the Destroyer,Arthur Sampson Douglas,Male,Human / Altered,Good,80,80,25,85,45,65
172,Ubisoft,Edward Kenway,Edward Kenway,Male,Human,Good,90,10,40,40,70,100
173,DC Comics,El Diablo,Chato Santana,Male,Human,Neutral,60,20,30,80,100,70
174,Dark Horse Comics,Elastigirl,Helen Parr,Female,Human,Good,80,30,35,95,50,70
175,Marvel Comics,Electro (SONY),Max Dillon,Male,Metahuman,Bad,85,20,70,70,90,55
176,Marvel Comics,Electro,Maxwell Dillon,Male,Human,Bad,85,10,50,55,65,65
177,Marvel Comics,Elektra (Fox),Elektra Natchios,Female,Human,Neutral,90,20,50,45,50,70
178,Marvel Comics,Elektra,Elektra Natchios,Female,Human,Good,80,10,30,30,60,100
179,Marvel Comics,Emma Frost (FOX),Emma Grace Frost,Female,Mutant,Good,95,30,50,85,90,85
180,Marvel Comics,Emma Frost,Emma Frost,Female,Mutant,Neutral,85,30,70,100,100,55
181,Marvel Comics,Erik Killmonger,N'Jadaka,Male,Human,Bad,90,15,30,65,70,95
182,DC Comics,Etrigan,Jason Blood,Male,Demon,Neutral,75,85,15,100,100,50
183,Ubisoft,Evie Frye,Evie Frye,Female,Human,Good,90,10,45,30,70,100
184,Marvel Comics,Evil Deadpool,Wade Wilson,Male,Mutant,Bad,85,30,50,100,100,100
185,Marvel Comics,Evilhawk,Dargin Bokk ,Male,Alien,Bad,75,30,35,70,85,65
186,Marvel Comics,Exodus,Bennet du Paris ,Male,Mutant,Bad,80,80,30,30,100,70
187,Marvel Comics,Falcon,Sam Wilson,Male,Human,Good,70,15,50,30,20,65
188,Marvel Comics,Fandral (MCU),Fandral,Male,Asgardian,Good,75,55,70,70,65,95
189,DC Comics,Faora,Faora Hu-Ul,Female,Kryptonian,Bad,95,95,75,100,100,90
190,DC Comics,Felix Faust,Dekan Drache,Male,God / Eternal,Bad,85,10,20,65,100,75
