id,Universe,Superhero,identity,gender,race,alignment,intelligence,strength,speed,durability,power,combat
191,Marvel Comics,Firestar,Angelica Jones,Female,Mutant,Good,75,10,55,55,70,30
192,DC Comics,Firestorm (CW),Ronald Raymond,Male,Metahuman,Good,85,35,80,70,100,65
193,DC Comics,Firestorm II (CW),Jefferson Jackson,Male,Metahuman,Good,80,35,80,70,100,75
194,DC Comics,Firestorm,Ronald Raymond,Male,Human,Good,70,80,60,80,100,40
195,DC Comics,Flash (CW),Barry Allen,Male,Metahuman,Good,85,35,100,75,100,85
196,DC Comics,Flash (Injustice),Barry Allen,Male,Metahuman,Good,90,30,100,95,100,45
197,DC Comics,Flash IV,Bartholomew Allen II,Male,Human,Good,80,10,100,30,100,50
198,DC Comics,Flash,Jay Garrick,Male,Human,Good,80,10,100,50,70,30
199,Marvel Comics,Franklin Richards,Franklin Richards,Male,Mutant,Good,90,80,15,100,100,50
200,Shueisha,Gaara,Gaara,Male,Human,Good,85,90,65,95,100,100
201,Marvel Comics,Gambit,Remy Etienne LeBeau,Male,Mutant,Good,80,10,25,30,60,85
202,Marvel Comics,Gamora,Gamora Zen Whoberi Ben Titan,Female,Zen-Whoberian,Good,90,85,40,85,55,100
203,J. R. R. Tolkien,Gandalf The White,Mithrandir,Male,Maiar,Good,100,10,65,80,100,100
204,J. R. R. Tolkien,Gandalf,Olórin,Male,Maiar,Good,95,10,60,70,100,100
205,Lego,General Vex,Vex,Male,Lego,Bad,70,30,50,10,20,10
206,DC Comics,General Zod,Dru-Zod,Male,Kryptonian,Bad,95,100,95,100,100,95
207,Marvel Comics,Ghost Rider II (MCU),Robbie Reyes,Male,Demon,Good,75,55,30,100,100,85
208,Marvel Comics,Gladiator,Kallark,Male,Strontian,Neutral,75,100,100,100,75,70
209,Lego,Golden Ninja,Lloyd Garmadon,Male,God / Eternal,Good,100,100,100,100,100,100
210,DC Comics,Gorilla Grodd (CW),Grodd,Male,Gorilla,Bad,90,65,65,80,100,85
211,Lego,GPL,GPL Tech,Female,Human,Bad,100,10,10,10,20,20
212,George Lucas,Grand Master Skywalker,Luke Skywalker,Male,Human,Good,80,30,100,30,100,90
213,Marvel Comics,Grant Ward (MCU),Grant Ward,Male,Human,Bad,90,10,15,20,25,40
214,Marvel Comics,Graviton (MCU),Glenn Talbot,Male,Metahuman,Bad,85,50,85,90,100,85
215,Marvel Comics,Gravity,Greg Willis,Male,Human,Good,75,30,35,40,70,30
216,DC Comics,Green Arrow (Injustice),Oliver Queen,Male,Human,Good,85,15,40,40,35,85
217,DC Comics,Green Arrow,Oliver Queen,Male,Human,Good,90,25,25,30,20,90
218,DC Comics,Green Lantern (Injustice),Hal Jordan,Male,Human,Good,90,65,85,85,100,85
219,DC Comics,Green Lantern (New 52),Alan Scott,Male,Human,Good,85,75,65,95,90,80
220,DC Comics,Grifter,Cole Cash,Male,Human,Neutral,75,15,50,80,100,95
221,Marvel Comics,Grim Reaper,Eric Williams,Male,Human,Bad,90,30,40,50,90,70
222,Marvel Comics,Groot,Groot,Male,Flora Colossus,Good,90,85,35,70,100,65
223,DC Comics,Gypsy (CW),Cynthia,Female,Metahuman,Good,80,15,45,40,80,85
224,DC Comics,Harley Quinn (Arkham),Harleen Quinzel,Female,Human,Bad,100,20,50,60,75,100
225,DC Comics,Harley Quinn (New 52),Harleen Quinzel,Female,Human,Neutral,100,20,50,65,65,100
226,DC Comics,Harley Quinn,Harleen Quinzel,Female,Human,Bad,95,10,35,65,55,80
227,DC Comics,Harrison Wells (CW),Harrison Wells,Male,Human,Good,100,10,25,20,15,70
228,Marvel Comics,Harry Osborn (Raimi Trilogy),Harold Osborn,Male,Human,Good,85,50,60,60,70,75
229,J. K. Rowling,Harry Potter,Harry James Potter,Male,Human,Good,90,5,20,10,100,50
230,Marvel Comics,Havok (FOX),Alexander Summers,Male,Mutant,Good,90,30,50,60,55,75
231,Marvel Comics,Havok,Alexander Summers,Male,Mutant,Good,80,10,25,60,70,45
232,DC Comics,Hawk (Titans),Hank Hall,Male,Human,Good,75,15,35,50,45,85
233,Marvel Comics,Hawkeye II,Katherine Elizabeth Bishop,Female,Human,Good,75,5,10,10,25,50
234,DC Comics,Hawkgirl (CW),Kendra Saunders,Female,Human,Good,80,30,55,100,80,75
235,DC Comics,Hawkman (CW),Carter Hall,Male,Human,Good,70,55,60,70,50,70
236,DC Comics,Heat Wave (CW),Mick Rory,Male,Human,Good,75,15,30,45,40,85
237,DC Comics,Heat Wave,Mick Rory,Male,Human,Bad,70,10,15,45,25,30
238,Marvel Comics,Heimdall (MCU),Heimdall,Male,Asgardian,Good,100,35,85,90,100,90
239,Dark Horse Comics,Hellboy (Injustice 2),Anung Un Rama,Male,Demon,Good,75,100,100,100,100,100
240,Dark Horse Comics,Hellboy,Anung Un Rama,Male,Demon,Good,75,55,50,100,100,100
241,Marvel Comics,Hellcat,Patricia Walker,Female,Human,Good,80,10,35,45,45,70
242,Marvel Comics,Hellfire (MCU),JT James,Male,Inhuman,Bad,75,10,20,25,55,75
243,DC Comics,Highfather,Izaya,Male,God / Eternal,Good,100,100,90,100,100,95
244,Marvel Comics,Hit-Monkey,Unknown,Male,Animal,Neutral,85,15,50,45,70,85
245,Marvel Comics,Hive (MCU),Unknown,Male,Inhuman,Bad,90,30,40,100,100,100
246,Marvel Comics,Hogun (MCU),Hogun,Male,Alien,Good,70,60,60,75,70,90
247,DC Comics,Hourman,Rex Tyler,Male,Metahuman,Good,85,80,65,70,85,80
248,Marvel Comics,Howard The Duck,Howard,Male,Animal,Good,90,10,40,40,100,90
249,DC Comics,Hugo Strange,Professor Hugo Strange,Male,Human,Bad,100,15,35,45,75,85
250,Marvel Comics,Hulk Earth-5901,Bruce Banner,Male,Human,Good,75,100,90,100,100,75
251,Marvel Comics,Hulk,Bruce Banner,Male,Human / Radiation,Good,60,100,85,100,100,85
252,Marvel Comics,Human Torch (FOX),Jonathan Storm,Male,Human / Radiation,Good,75,15,75,50,100,65
253,Marvel Comics,Human Torch II,Jim Hammond,Male,Android,Good,90,15,35,60,55,45
254,DC Comics,Huntress (CW),Helena Bertinelli,Female,Human,Good,90,10,45,30,20,100
255,DC Comics,Huntress (Injustice),Helena Rosa Bertinelli,Female,Human,Good,85,15,50,50,35,100
256,DC Comics,Hush,Thomas Elliot,Male,Human,Bad,95,10,25,40,25,80
257,Marvel Comics,Husk,Paige Elisabeth Guthrie,Female,Mutant,Good,80,65,35,80,50,65
258,Marvel Comics,Hybrid,Scott Washington,Male,Symbiote,Good,80,65,60,75,100,80
259,Marvel Comics,Iceman (FOX),Bobby Drake,Male,Mutant,Good,80,35,50,60,70,65
260,Marvel Comics,Iceman,Bobby Drake,Male,Mutant,Good,80,30,55,100,100,65
261,DC Comics,Icon,Arnus,Male,Alien,Good,95,100,100,100,100,90
262,Marvel Comics,Immortal Hulk,Bruce Banner,Male,Human / Radiation,Neutral,90,100,90,100,100,85
263,DC Comics,Imperiex,Imperiex,Male,God / Eternal,Bad,90,100,95,100,100,85
264,Marvel Comics,Incredible Hulk (Universal),Bruce Banner,Male,Human,Good,95,100,75,100,100,85
265,Marvel Comics,Ink,Eric Gitter,Male,Mutant,Good,70,30,15,40,75,50
266,Marvel Comics,Invisible Woman (FOX),Susan Storm,Female,Human / Radiation,Good,100,20,75,85,100,80
267,Marvel Comics,Iron Fist,Danny Rand,Male,Human,Good,90,55,35,50,95,100
268,Marvel Comics,Iron Monger (MCU),Obadiah Stane,Male,Human,Bad,100,65,70,70,55,80
269,Shueisha,Itachi Uchiha,Uchiha Itachi,Male,Human,Neutral,90,100,80,75,100,100
270,Dark Horse Comics,Jack-Jack,Jack-Jack Parr,Male,Human,Good,35,35,65,80,100,5
271,Marvel Comics,Jack of Hearts,Jonathan Hart,Male,Human,Good,80,55,100,30,75,30
272,Ubisoft,Jacob Frye,Jacob Frye,Male,Human,Good,90,10,40,35,65,100
273,Ian Fleming,James Bond (Craig),James Bond,Male,Human,Good,95,15,15,35,25,90
274,Marvel Comics,Jane Foster (MCU),Jane Foster,Female,Human,Good,100,10,15,10,15,40
275,Lego,Jay (The LEGO Ninjago Movie),Jay Gordon,Male,Human,Good,85,10,35,30,100,100
276,Marvel Comics,Jean Grey,Jean Grey,Female,Mutant,Good,95,80,20,20,95,70
277,Marvel Comics,Jemma Simmons (MCU),Jemma Anne Simmons,Female,Human,Good,100,10,20,20,10,70
278,DC Comics,Jesse Quick (CW),Jesse Wells,Female,Metahuman,Good,100,30,100,75,100,75
279,DC Comics,Jesse Quick,Jesse Chambers,Female,Human,Good,95,30,100,60,100,90
280,Marvel Comics,Jessica Jones,Jessica Campbell Jones Cage,Female,Human,Good,80,45,50,70,20,55
281,Marvel Comics,Jigsaw (MCU),Billy Russo,Male,Human,Bad,85,15,35,45,45,90
282,DC Comics,Joe Wilson (CW),Joe Wilson,Male,Human,Bad,85,15,40,40,35,95
283,Dark Horse Comics,Johann Krauss,Johann Krauss,Male,Energy,Good,85,20,70,60,100,50
284,Marvel Comics,John Pilgrim (MCU),Robert Pilgrim,Male,Human,Neutral,85,15,35,45,40,90
285,DC Comics,Joker,Jack Napier,Male,Human,Bad,100,10,10,60,45,70
286,DC Comics,Jonah Hex (CW),Jonah Hex,Male,Human,Good,85,15,30,35,40,80
287,Marvel Comics,Jubilee,Jubilation Lee,Female,Mutant,Good,80,10,20,20,65,90
288,Marvel Comics,Juggernaut (FOX),Cain Marko,Male,Mutant,Bad,65,50,70,85,100,85
289,Marvel Comics,Juggernaut,Cain Marko,Male,Human,Neutral,70,100,65,100,100,75
290,Marvel Comics,Justice,Vance Astrovik,Male,Human,Good,75,10,35,70,60,30
291,Marvel Comics,Justin Hammer,Justin Hammer,Male,Human,Bad,100,10,15,10,10,15
292,Marvel Comics,Kaecilius (MCU),Kaecilius,Male,Human,Bad,85,20,50,55,100,100
293,Shueisha,Kaguya Ōtsutsuki,Ōtsutsuki Kaguya,Female,God / Eternal,Bad,55,100,100,100,100,90
294,Lego,Kai (The LEGO Ninjago Movie),Kai,Male,Human,Good,85,10,60,55,85,100
295,Shueisha,Kale,Kale,Female,Saiyan,Neutral,85,100,100,100,100,100
296,DC Comics,Kanto,Iluthin,Male,New God,Bad,90,60,65,90,100,100
297,Marvel Comics,Karnak (MCU),Karnak Mander-Azur,Male,Inhuman,Good,95,15,45,55,55,100
298,DC Comics,Katana (DCEU),Tatsu Yamashiro,Female,Human,Good,70,10,50,40,55,100
299,DC Comics,Katana,Tatsu Yamashiro,Female,Human,Good,80,10,50,40,60,95
300,Shueisha,Kefla,Kale/Caulifla,Female,Saiyan,Neutral,85,100,100,100,100,100
301,Shueisha,Kenshiro,Kenshiro,Male,Human,Good,85,90,65,65,100,100
302,DC Comics,KGBeast,Anatoli Knyazev,Male,Cyborg,Bad,70,20,30,50,65,95
303,DC Comics,Kid Flash (CW),Wally West,Male,Metahuman,Good,70,40,90,65,90,70
304,DC Comics,Kid Flash II,Bartholomew Allen II,Male,Human,Good,90,30,100,60,100,75
305,Marvel Comics,Kilgrave (MCU),Kevin Thompson,Male,Human,Bad,80,10,15,20,80,40
306,DC Comics,Killer Croc (DCEU),Waylon Jones,Male,Metahuman,Bad,90,60,40,85,75,75
307,DC Comics,Killer Croc,Waylon Jones,Male,Metahuman,Bad,60,55,35,90,55,60
308,DC Comics,Killer Frost,Caitlin Snow,Female,Human,Bad,95,10,15,35,60,30
309,Marvel Comics,Killian (MCU),Aldrich Killian,Male,Metahuman,Bad,100,50,60,70,80,90
310,Marvel Comics,Killmonger (MCU),Erik Stevens,Male,Human,Bad,85,60,60,80,80,95
311,Marvel Comics,King Thanos,Thanos,Male,Titanian,Bad,100,100,80,100,100,95
312,Marvel Comics,Kingpin,Wilson Grant Fisk,Male,Human,Bad,90,20,25,40,15,70
313,Marvel Comics,Klaw (MCU),Ulysses Klaue,Male,Human,Bad,85,15,40,40,35,70
314,Marvel Comics,Klaw,Ulysses Klaw,Male,Human,Bad,80,40,35,100,60,60
315,Lego,Koko (The LEGO Ninjago Movie),Koko,Female,Human,Good,90,20,40,20,55,100
316,Marvel Comics,Kraven II,Alyosha Kravinoff,Male,Human,Bad,75,35,25,30,45,85
317,Marvel Comics,Kraven the Hunter,Sergei Kravinoff,Male,Human,Bad,80,30,35,40,25,85
318,DC Comics,Krypto,Krypto the Superdog,Male,Kryptonian,Good,55,80,100,90,80,40
319,Marvel Comics,Lady Bullseye,Maki Matsumotu,Female,Human,Bad,90,10,20,45,40,90
320,Marvel Comics,Lady Deadpool,Wanda Wilson,Female,Mutant,Neutral,50,15,60,100,100,100
321,Marvel Comics,Lady Deathstrike,Yuriko Oyama,Female,Cyborg,Bad,80,30,40,85,50,90
322,DC Comics,Lady Shiva,Sandra Wu-San,Female,Human,Neutral,90,10,35,30,40,100
323,Marvel Comics,Lance Hunter (MCU),Lance Hunter,Male,Human,Good,85,15,40,35,35,85
324,Marvel Comics,Laufey (MCU),Laufey,Male,Frost Giant,Bad,80,30,60,80,70,75
325,Marvel Comics,Lauren Strucker (Fox),Lauren Strucker,Female,Mutant,Good,75,10,20,15,85,55
326,Marvel Comics,Leo Fitz (MCU),Leopold Fitz,Male,Human,Good,100,10,25,25,20,80
327,DC Comics,Lex Luthor (DCEU),Alexander Joseph Luthor,Male,Human,Bad,100,10,15,20,20,50
328,DC Comics,Lex Luthor (Injustice),Alexander Luthor,Male,Human,Bad,100,55,25,65,90,70
329,DC Comics,Lex Luthor,Lex Luthor,Male,Human,Bad,100,55,25,65,70,70
330,Marvel Comics,Lightspeed,Julie Power,Female,Human,Good,90,10,100,55,80,100
331,DC Comics,Livewire,Leslie Willis,Female,Human,Good,85,60,90,95,70,85
332,Marvel Comics,Lizard,Curtis Connors,Male,Human,Bad,75,50,60,70,75,55
333,Lego,Lloyd (The LEGO Ninjago Movie),Lloyd Garmadon,Male,Human,Good,85,10,70,40,70,100
334,DC Comics,Lobo,Lobo,Male,Czarnian,Neutral,95,100,55,100,100,85
335,Marvel Comics,Lockjaw,Lockjaw,Male,Inhuman,Good,70,30,90,50,60,30
336,Marvel Comics,Luke Cage,Luke Cage,Male,Human,Good,75,65,30,95,45,70
337,George Lucas,Luke Skywalker,Luke Skywalker,Male,Human,Good,85,40,40,25,100,100
338,Marvel Comics,Luna,Luna Maximoff,Female,Human,Good,70,5,85,15,55,15
339,Shueisha,Madara Uchiha,Uchiha Madara,Male,Human,Bad,90,100,100,100,100,100
340,Marvel Comics,Maestro Hulk,Bruce Banner,Male,Human / Radiation,Bad,100,100,85,100,100,85
341,DC Comics,Man-Bat,Robert Kirkland Langstrom,Male,Human,Neutral,70,20,50,70,35,30
342,Marvel Comics,Mandarin,Khan,Male,Human,Bad,100,30,25,30,100,95
343,Marvel Comics,Maria Hill (MCU),Maria Hill,Female,Human,Good,90,20,20,25,25,70
344,Nintendo,Mario,Mario Mario,Male,Human,Good,75,100,100,100,100,55
345,DC Comics,Martian Manhunter,J'onn J'onzz,Male,Martian,Good,100,95,90,100,100,85
346,Microsoft,Master Chief,John-117,Male,Human / Altered,Good,90,75,35,80,70,100
347,Marvel Comics,Maximus (MCU),Maximus Boltagon,Male,Human,Bad,95,10,20,20,15,75
348,Marvel Comics,M'baku (MCU),M'Baku,Male,Human,Good,75,15,30,40,40,85
349,Marvel Comics,Medusa (MCU),Medusalith Amaquelin,Female,Inhuman,Good,85,20,30,50,50,85
350,Marvel Comics,Melinda May (MCU),Melinda May,Female,Human,Good,100,10,20,20,20,100
351,DC Comics,Mera (New 52),Mera,Female,Atlantean,Good,95,90,90,90,100,100
352,DC Comics,Mera,Mera,Female,Atlantean,Good,80,60,80,60,90,80
353,DC Comics,Metallo,John Corben,Male,Android,Bad,90,55,25,95,85,65
354,DC Comics,Michael Demiurgos,Michael Demiurgos,Male,God / Eternal,Neutral,100,100,100,100,100,100
355,Shueisha,Might Guy,Might Guy,Male,Human,Good,80,100,80,95,85,100
356,DC Comics,Mirror Master (CW),Sam Scudder,Male,Metahuman,Bad,70,15,25,35,55,75
357,Marvel Comics,Mister Fantastic (FOX),Reed Richards,Male,Human / Radiation,Good,100,20,35,55,80,65
358,Marvel Comics,Mister Fantastic,Reed Richards,Male,Human / Radiation,Good,100,10,25,85,40,65
359,DC Comics,Mister Freeze,Victor Fries,Male,Human,Bad,90,30,10,70,40,30
360,DC Comics,Mister Miracle,Scott Free,Male,God / Eternal,Good,95,85,90,85,100,80
361,DC Comics,Mister Mxyzptlk,Mr. Mxyzptlk,Male,God / Eternal,Bad,100,100,100,100,100,50
362,Marvel Comics,Mister Sinister,Nathaniel Essex,Male,Human / Altered,Bad,100,50,45,90,100,50
363,DC Comics,Mister Terrific (CW),Curtis Holt,Male,Human,Good,100,15,40,35,50,80
364,Marvel Comics,Misty Knight (MCU),Mercedes Kelly,Female,Human,Good,90,30,35,35,50,90
365,Marvel Comics,Misty Knight,Mercedes 'Misty' Knight,Female,Cyborg,Good,75,60,25,45,65,75
366,Marvel Comics,Mockingbird (MCU),Barbara Morse,Female,Human,Good,100,10,55,55,50,100
367,Marvel Comics,Mockingbird,Barbara Morse,Female,Human,Good,90,30,40,20,50,95
368,DC Comics,Mongul The Elder,Mongul,Male,Alien,Bad,90,100,60,100,100,100
369,Marvel Comics,Moon Knight,Marc Spector,Male,Human,Good,75,35,25,40,30,75
370,Dark Horse Comics,Mr Incredible,Robert Parr,Male,Human,Good,75,85,35,95,30,40
371,Marvel Comics,Mysterio,Quentin Beck,Male,Human,Bad,90,10,15,40,80,70
372,Marvel Comics,Mystique (FOX),Raven Darkhölme,Female,Mutant,Bad,95,25,50,50,95,100
373,Marvel Comics,Mystique,Raven Darkholme,Female,Mutant,Bad,85,20,50,50,75,90
374,Shueisha,Nagato Uzumaki,Nagato Uzumaki,Male,Human,Neutral,70,55,50,80,100,70
375,Marvel Comics,Namor,Namor McKenzie,Male,Atlantean,Good,85,95,60,70,75,85
376,Shueisha,Naruto Uzumaki,Uzumaki Naruto,Male,Human,Good,70,100,100,100,100,100
377,Marvel Comics,Nebula (MCU),Nebula,Female,Titanian,Neutral,85,20,50,55,100,100
378,Marvel Comics,Negasonic Teenage Warhead (FOX,Ellie Phimister,Female,Mutant,Good,80,10,25,15,55,55
