id,Universe,Superhero,identity,gender,race,alignment,intelligence,strength,speed,durability,power,combat
379,Marvel Comics,Negasonic Teenage Warhead,Ellie Phimister,Female,Mutant,Good,75,5,10,10,45,35
380,Shueisha,Neji,Neji Hyuga,Male,Human,Good,90,10,60,35,65,100
381,DC Comics,Nekron,Nekron,Male,God / Eternal,Bad,90,100,75,95,100,100
382,Marvel Comics,Nick Fury (MCU),Nicholas Fury,Male,Human,Good,95,15,30,45,35,85
383,Marvel Comics,Nick Fury,Nicholas Joseph Fury,Male,Human,Good,90,10,25,40,25,100
384,Marvel Comics,Nightcrawler (FOX),Kurt Wagner,Male,Mutant,Good,70,10,60,20,75,85
385,DC Comics,Nightshade,Eve Eden,Female,Human,Neutral,85,10,35,65,100,65
386,DC Comics,Nightwing (Arkham),Dick Grayson,Male,Human,Good,90,20,80,45,50,95
387,DC Comics,Nite Owl II,Daniel Dreiberg,Male,Human,Good,85,25,40,40,60,80
388,DC Comics,Nite Owl,Hollis Mason,Male,Human,Good,85,25,35,45,45,90
389,Marvel Comics,Nobu (MCU),Nobu Yoshioka,Male,Human,Bad,80,15,50,50,60,100
390,Marvel Comics,Nomad (MCU),Steve Rogers,Male,Human,Good,90,35,60,65,65,100
391,Lego,Nya (The LEGO Ninjago Movie),Nya,Male,Human,Good,95,10,20,15,80,70
392,Shueisha,Obito Uchiha,Uchiha Obito,Male,Human,Bad,85,100,90,100,100,100
393,DC Comics,Ocean Master,Orm Curry Marius,Male,Atlantean,Bad,90,75,70,75,100,80
394,Marvel Comics,Old Man Logan (FOX),James Howlett,Male,Mutant,Good,85,30,35,75,75,95
395,Marvel Comics,Omega,The Omega,Male,Demon,Bad,80,100,80,85,100,90
396,Shueisha,One Punch Man,Saitama,Male,Human,Good,60,100,95,100,65,65
397,Marvel Comics,Onslaught,Onslaught,Male,Mutant,Bad,95,100,85,100,100,75
398,DC Comics,Owlman,Thomas Wayne Jr.,Male,Human,Bad,100,15,30,50,55,95
399,DC Comics,Pandora,Pandora,Female,Human,Neutral,95,10,60,80,100,100
400,Marvel Comics,Peggy Carter (MCU),Margaret Carter,Female,Human,Good,95,10,35,40,35,95
401,DC Comics,Penguin,Oswald Cobblepot,Male,Human,Bad,95,10,15,35,45,45
402,DC Comics,Pied Piper (CW),Hartley Rathaway,Male,Metahuman,Good,100,10,20,15,55,65
403,Marvel Comics,Plantman,Samuel Smithers,Male,Mutant,Bad,80,60,25,55,60,25
404,DC Comics,Plastic Man,Patrick O'Brian,Male,Human,Good,75,65,25,100,100,55
405,DC Comics,Poison Ivy (Arkham),Pamela Isley,Female,Human,Bad,95,15,55,70,100,75
406,DC Comics,Poison Ivy,Pamela Isley,Female,Human,Bad,90,15,30,70,100,70
407,Marvel Comics,Polaris (Fox),Lorna Dane,Female,Mutant,Good,80,10,30,25,100,70
408,Marvel Comics,Polaris,Lorna Dane,Female,Mutant,Good,80,75,40,50,100,45
409,DC Comics,Power Girl (New 52),Kara Zor-L,Female,Kryptonian,Good,95,100,90,100,75,80
410,DC Comics,Power Girl,Kara Zor-L,Female,Kryptonian,Good,95,100,100,100,100,75
411,Dark Horse Comics,Predator,Yautja,Male,Yautja,Bad,80,30,25,85,100,90
412,J. K. Rowling,Professor Dumbledore,Albus Dumbledore,Male,Human,Good,100,5,65,65,100,90
413,Marvel Comics,Professor X (FOX),Charles Francis Xavier,Male,Mutant,Good,100,10,10,15,100,60
414,DC Comics,Professor Zoom,Eobard Thawne,Male,Human,Bad,95,10,100,20,85,20
415,DC Comics,Prometheus (CW),Adrian Chase,Male,Human,Bad,100,15,45,50,50,100
416,Marvel Comics,Proxima Midnight (MCU),Proxima Midnight,Female,Alien,Bad,75,55,65,65,70,95
417,Marvel Comics,Psylocke,Elizabeth Braddock,Female,Mutant,Good,80,35,25,40,100,90
418,Marvel Comics,Punisher,Frank Castle,Male,Human,Good,85,15,20,45,40,100
419,Marvel Comics,Purple Man,Zebediah Killgrave,Male,Human,Bad,80,10,10,30,90,10
420,Marvel Comics,Pyro (FOX),St. John Allerdyce,Male,Mutant,Bad,75,10,15,15,45,30
421,DC Comics,Question,Charles Szasz,Male,Human,Good,95,10,25,35,25,85
422,Marvel Comics,Quicksilver,Pietro Django Maximoff,Male,Mutant,Good,80,30,100,60,80,55
423,DC Comics,Ragman (CW),Rory Regan,Male,Human,Good,75,30,35,90,75,70
424,DC Comics,Ra's Al Ghul (CW),Unknown,Male,Human,Bad,90,20,50,50,60,100
425,DC Comics,Ra's Al Ghul,Ra's Al Ghul,Male,Human,Bad,100,30,30,40,25,100
426,DC Comics,Raven (Titans),Rachel Roth,Female,Human,Good,70,10,30,30,100,50
427,Lego,Ray,Ray,Male,Human,Good,90,15,25,30,85,100
428,DC Comics,Red Arrow,Roy Harper,Male,Human,Good,80,15,25,20,25,80
429,DC Comics,Red Hood (New 52),Jason Todd,Male,Human,Neutral,90,15,30,45,40,100
430,Marvel Comics,Red Hulk (Ghost Rider) (Venom),Thaddeus Ross,Male,Human / Radiation,Neutral,75,100,100,100,100,75
431,Marvel Comics,Red Hulk,Thaddeus E. Ross,Male,Human / Radiation,Neutral,75,100,45,85,80,75
432,Marvel Comics,Red Skull (MCU),Johann Shmidt,Male,Human,Bad,95,45,40,40,95,65
433,George Lucas,Rey,Rey,Female,Human,Good,65,35,25,25,100,70
434,Marvel Comics,Rhino,Aleksei Mikhailovich Sytsevich,Male,Human / Radiation,Bad,65,80,45,90,35,85
435,Cartoon Network,Rick Sanchez,Rick Sanchez,Male,Human,Neutral,100,10,20,55,100,80
436,Marvel Comics,Riot (SONY),Carlton Drake,Male,Symbiote,Bad,80,70,60,90,100,85
437,DC Comics,Robin II,Jason Todd,Male,Human,Good,90,10,25,30,30,85
438,DC Comics,Robin (Titans),Jason Todd,Male,Human,Good,80,10,45,45,40,100
439,DC Comics,Robin V,Damian Wayne,Male,Human,Good,85,10,35,15,30,65
440,DC Comics,Robin VI,Carrie Kelley,Female,Human,Neutral,75,10,25,20,15,70
441,DC Comics,Robin,Dick Grayson,Male,Human,Good,95,10,25,30,30,85
442,Shueisha,Rock Lee,Rock Lee,Male,Human,Good,70,90,50,70,75,100
443,Marvel Comics,Rocket Raccoon (MCU),Rocket Raccoon,Male,Animal,Good,95,15,60,45,45,80
444,Marvel Comics,Rocket Raccoon,Rocket Raccoon,Male,Animal,Good,75,5,25,30,30,65
445,Marvel Comics,Rogue (FOX),Anna Marie,Female,Mutant,Good,90,20,45,45,90,85
446,Marvel Comics,Ronin (MCU),Clint Barton,Male,Human,Good,90,15,40,40,45,95
447,Lego,Ronin (Ninjago),Ronin,Male,Human,Neutral,100,10,20,15,75,100
448,DC Comics,Rorschach,Walter Joseph Kovacs,Male,Human,Good,90,10,30,20,25,80
449,Marvel Comics,Sabretooth (FOX),Victor Creed,Male,Mutant,Bad,80,70,65,90,100,90
450,Marvel Comics,Sabretooth,Victor Creed,Male,Mutant,Bad,80,50,40,90,50,100
451,Shueisha,Sakura Haruno,Haruno Sakura,Female,Human,Good,70,100,100,75,100,100
452,Marvel Comics,Sandman (SONY),Flint Marko,Male,Metahuman,Neutral,70,75,70,95,100,70
453,DC Comics,Sandman,Wesley Dodds,Male,Metahuman,Good,90,40,35,45,65,95
454,Shueisha,Sasuke Uchiha,Uchiha Sasuke,Male,Human,Good,75,100,100,100,100,100
455,DC Comics,Saturn Girl (CW),Imra Ardeen,Female,Titanian,Good,80,35,30,40,90,75
456,Marvel Comics,Scarlet Spider II,Kaine Parker,Male,Clone,Good,95,55,60,40,35,55
457,Marvel Comics,Sebastian Shaw (FOX),Sebastian Hiram Shaw,Male,Mutant,Bad,100,75,25,90,85,50
458,IDW Publishing,Selene,Selene,Female,Vampire,Good,75,85,65,75,100,85
459,Marvel Comics,Sentry,Robert Reynolds,Male,Human,Good,90,100,100,100,100,45
460,Marvel Comics,Shades (MCU),Herman Enrique Salazar Alvarez,Male,Human,Bad,90,20,30,40,35,85
461,Marvel Comics,Shadowcat (FOX),Katherine Anne Pryde,Male,Mutant,Good,100,20,45,55,45,90
462,Marvel Comics,Shadowcat,Kitty Pryde,Female,Mutant,Good,95,10,20,25,70,70
463,Marvel Comics,Shang-Chi,Shang-Chi,Male,Human,Good,80,10,30,50,30,100
464,Mortal Kombat,Shao Kahn,Shao Kahn,Male,God / Eternal,Bad,50,50,75,75,100,95
465,Marvel Comics,Sharon Carter,Sharon Carter,Female,Human,Good,95,10,20,40,55,60
466,DC Comics,Shazam,Billy Batson,Male,Human,Good,95,100,90,95,100,75
467,Marvel Comics,She-Hulk,Jennifer Walters,Female,Human,Good,85,100,80,100,100,80
468,Dark Horse Comics,Sherlock Holmes,Sherlock Holmes,Male,Human,Good,100,35,30,35,75,85
469,Shueisha,Shikamaru,Shikamaru Nara,Male,Human,Good,100,10,50,75,85,100
470,Marvel Comics,Shocker,Herman Schultz,Male,Human,Bad,80,10,25,70,80,55
471,Marvel Comics,Shuri (MCU),Shuri,Female,Human,Good,90,10,45,100,40,95
472,Marvel Comics,Sif (MCU),Sif,Female,Asgardian,Good,90,95,70,85,100,90
473,Marvel Comics,Sif,Sif,Female,Asgardian,Good,80,90,65,80,100,70
474,Marvel Comics,Silk,Cindy Moon,Female,Human,Good,90,50,70,70,70,65
475,DC Comics,Silver Banshee,Siobhan McDougal,Female,Human,Bad,75,15,75,75,100,70
476,Marvel Comics,Silver Samurai (FOX),Ichirō Yashida,Male,Human,Bad,90,60,30,80,75,85
477,Marvel Comics,Silver Surfer,Norrin Radd,Male,Alien,Good,80,100,100,90,100,30
478,DC Comics,Solomon Grundy,Cyrus Gold,Male,Zombie,Bad,55,95,15,100,90,30
479,Dark Horse Comics,Solomon Kane,Solomon Kane,Male,Human,Good,70,15,30,45,50,55
480,DC Comics,Space Ghost,Thaddeus Bach,Male,Human,Good,70,20,35,40,95,80
481,DC Comics,Spartan,John Diggle,Male,Human,Good,85,15,35,45,50,95
482,Image Comics,Spawn,Al Simmons,Male,Demon,Good,90,70,50,100,100,100
483,DC Comics,Speedy,Thea Queen,Female,Human,Good,75,5,35,20,25,70
484,Marvel Comics,Spider-Man (Black) (Raimi),Peter Benjamin Parker,Male,Metahuman,Good,90,55,65,70,70,80
485,Marvel Comics,Spider-Man Noir,Peter Parker,Male,Human,Good,100,55,70,75,75,95
486,Marvel Comics,Spider-Woman,Jessica Drew,Female,Human,Good,80,40,40,60,70,70
487,Marvel Comics,Spyke,Evan Daniels,Male,Mutant,Good,75,10,15,60,50,30
488,Marvel Comics,Star-Lord,Peter Quill,Male,Human-Spartoi,Good,85,20,35,50,25,70
489,DC Comics,Star Sapphire,Carol Ferris,Female,Human,Good,90,55,75,70,100,70
490,DC Comics,Starfire (Titans),Koriand'r,Female,Tamaranean,Good,90,50,40,70,75,90
491,DC Comics,Starfire,Koriand'r,Female,Tamaranean,Good,80,90,100,85,100,75
492,DC Comics,Stargirl,Courtney Whitmore,Female,Human,Good,80,80,50,90,100,70
493,DC Comics,Starling,Evelyn Crawford,Female,Human,Good,85,10,15,25,20,85
494,Marvel Comics,Steel Serpent (MCU),Davos,Male,Human,Bad,70,15,50,40,45,100
495,DC Comics,Steel,John Irons,Male,Human,Good,90,80,55,90,65,65
496,Marvel Comics,Stick (MCU),Unknown,Male,Human,Neutral,85,10,40,40,50,100
497,Marvel Comics,Storm (FOX),Ororo Munroe,Female,Mutant,Good,75,25,65,45,100,70
498,DC Comics,Strange Visitor Superman,Kal-El,Male,Kryptonian,Good,90,100,100,100,100,90
499,Marvel Comics,Sunspot,Roberto DaCosta,Male,Mutant,Good,80,65,35,25,100,70
500,DC Comics,Superboy-Prime,Kal-El,Male,Kryptonian,Bad,95,100,100,100,100,85
501,DC Comics,Supergirl (Injustice),Kara Zor-El,Female,Kryptonian,Good,90,100,100,100,100,95
502,DC Comics,Superman (2006),Kal-El,Male,Kryptonian,Good,85,100,100,100,100,75
503,DC Comics,Superman (Smallville),Kal-El,Male,Kryptonian,Good,95,100,100,100,100,85
504,DC Comics,Swamp Thing,Alec Holland,Male,God / Eternal,Bad,95,95,25,100,100,55
505,Marvel Comics,Swarm,Fritz von Meyer,Male,Mutant,Bad,90,20,50,90,40,35
506,Dark Horse Comics,T-X,Cyberdyne Systems Series X Terminator,Female,Cyborg,Bad,90,65,30,85,100,80
507,Marvel Comics,Taskmaster,Tony Masters,Male,Human,Bad,90,10,50,20,65,100
508,Marvel Comics,Thanos,Thanos,Male,Eternal,Bad,100,100,75,100,100,100
509,DC Comics,The Batman Of Zur-En-Arrh,Tlano,Male,Human,Good,100,30,45,50,60,100
510,Dark Horse Comics,The Boy,Number Five,Male,Human / Altered,Good,85,5,10,10,100,85
511,DC Comics,The Comedian,Edward Morgen Blake,Male,Human,Neutral,80,15,15,10,10,80
512,Image Comics,The Crow,Eric Draven,Male,Human,Good,75,30,50,100,100,100
513,Marvel Comics,The Executioner (MCU),Skurge,Male,Asgardian,Neutral,70,65,60,75,70,85
514,DC Comics,The Flash (CW),Jay Garrick,Male,Metahuman,Good,85,30,100,70,100,65
515,Marvel Comics,The Keeper,Norrin Radd,Male,Alien,Good,75,100,100,100,100,75
516,DC Comics,The Ray (CW),Ray Terrill,Male,Metahuman,Good,75,70,95,100,100,75
517,DC Comics,The Rival (CW),Edward Clariss,Male,Metahuman,Bad,75,30,95,70,100,80
518,DC Comics,The Scarecrow (Gotham),Jonathan Crane,Male,Human,Bad,90,10,35,30,40,80
519,Marvel Comics,The Shocker (MCU),Herman Schultz,Male,Human,Bad,85,10,25,70,60,60
520,Marvel Comics,The Thing (FOX),Ben Grimm,Male,Human / Radiation,Good,70,80,50,90,65,95
521,DC Comics,The Thinker (CW),Clifford DeVoe,Male,Metahuman,Bad,100,10,30,30,100,50
522,Marvel Comics,The Wasp,Janet van Dyne,Female,Human,Good,80,15,60,50,30,40
523,Marvel Comics,Thor Girl,Tarene,Female,Asgardian,Good,90,85,70,85,100,70
524,Marvel Comics,Thor (Odin Force),Thor Odinson,Male,God / Eternal,Good,85,100,100,100,100,100
525,Marvel Comics,Titania,Mary McPherran,Female,Mutant,Bad,90,80,90,95,75,90
526,Marvel Comics,Toad (FOX),Mortimer Toynbee,Male,Mutant,Bad,80,30,60,55,65,80
527,Marvel Comics,Toad,Mortimer Toynbee,Male,Mutant,Neutral,75,35,60,55,70,30
528,Marvel Comics,Toxin,Eddie Brock,Male,Symbiote,Good,90,80,40,85,95,70
529,DC Comics,Toymaster,Hiro Okamura,Male,Human,Good,100,10,20,50,60,40
530,Marvel Comics,Triton,Triton,Male,Inhuman,Good,80,65,50,65,35,55
531,DC Comics,Two-Face,Harvey Dent,Male,Human,Bad,85,10,15,15,30,70
532,Marvel Comics,Typhoid Mary (MCU),Mary Walker,Female,Human,Neutral,90,15,40,35,45,100
533,Marvel Comics,Ultimo,Doomsday Device,Male,Android,Bad,50,100,50,100,100,100
534,Marvel Comics,Valkyrie (MCU),Brunnhilde,Female,Asgardian,Good,90,95,85,95,95,55
535,Marvel Comics,Valkyrie,Brunnhilde,Female,Asgardian,Good,80,60,70,80,100,90
536,Marvel Comics,Venom III,MacDonald Gargan,Male,Symbiote,Bad,80,75,35,90,75,55
537,Marvel Comics,Venom,Eddie Brock,Male,Symbiote,Bad,90,55,65,85,85,85
538,DC Comics,Vibe (CW),Cisco Ramon,Male,Metahuman,Bad,100,10,45,40,80,65
539,DC Comics,Vibe,Cisco Ramon,Male,Human,Good,75,10,15,30,100,30
540,DC Comics,Vigilante (CW),Vincent Sobel,Male,Metahuman,Good,85,15,45,60,70,90
541,Marvel Comics,Vili,Vili,Male,Asgardian,Good,100,55,70,85,100,100
542,Dark Horse Comics,Violet Parr,Violet Parr,Female,Human,Good,80,10,15,50,80,15
543,Marvel Comics,Vision,Vision,Male,Android,Good,100,70,55,95,100,70
544,DC Comics,Vixen (CW),Amaya Jiwe,Female,Human,Good,85,50,65,55,80,95
545,DC Comics,Vixen II (CW),Mari,Female,Human,Good,80,50,70,60,100,80
546,DC Comics,Vixen,Mari McCabe,Female,Human,Good,75,40,50,50,60,25
547,Marvel Comics,Volstagg (MCU),Volstagg,Male,Asgardian,Good,70,60,55,80,75,85
548,Marvel Comics,Vulture (MCU),Adrian Toomes,Male,Human,Bad,85,45,60,55,60,75
549,Marvel Comics,Vulture,Adrian Toomes,Male,Human,Bad,90,20,40,25,25,30
550,Marvel Comics,Walrus,Hubert Carpent,Male,Human,Bad,75,30,10,50,10,20
551,Marvel Comics,War Machine,James Rhodes,Male,Human,Good,80,80,65,100,100,85
552,Marvel Comics,Warpath,James Proudstar,Male,Mutant,Good,70,70,45,70,25,85
553,Capcom,Wesker,Albert Wesker,Male,Human / Altered,Bad,100,50,50,50,100,100
554,DC Comics,White Canary (CW),Sara Lance,Female,Human,Good,100,20,100,50,55,100
555,Marvel Comics,White Wolf (MCU),James Buchanan Barnes,Male,Human,Good,80,50,60,60,70,100
556,DC Comics,Wild Dog (CW),Rene Ramirez,Male,Human,Good,80,15,35,45,40,90
557,Marvel Comics,William Stryker (FOX),"William Stryker, Jr.",Male,Human,Bad,100,15,15,25,20,70
558,Marvel Comics,Winter Soldier,Bucky Barnes,Male,Human,Good,80,30,35,65,60,85
559,DC Comics,Wonder Girl (Titans),Donna Troy,Female,Amazon,Good,100,95,65,65,70,100
560,DC Comics,Wonder Girl,Diana Prince,Female,Demi-God,Good,95,100,75,100,100,100
561,Marvel Comics,Wong (MCU),Wong,Male,Human,Good,70,60,40,45,100,70
562,Marvel Comics,World Breaker Hulk,Bruce Banner,Male,Human / Radiation,Good,85,100,85,100,100,85
563,Marvel Comics,X-23 (FOX),Laura Kinney,Female,Mutant,Good,90,65,70,85,85,80
564,Marvel Comics,X-23,Laura Kinney,Female,Mutant / Clone,Good,90,25,40,100,55,95
565,Marvel Comics,YellowJacket (MCU),Darren Cross,Male,Human,Bad,95,35,60,70,70,70
566,Marvel Comics,Yellowjacket,Hank Pym,Male,Human,Good,95,10,10,30,10,15
567,Marvel Comics,Yo-yo (MCU),Elena Rodriguez,Female,Inhuman,Good,80,35,100,40,60,90
568,George Lucas,Yoda,Yoda,Male,Yoda's species,Good,95,50,35,25,100,90
569,Marvel Comics,Yukio (FOX),Yukio,Female,Mutant,Good,80,10,50,30,45,100
570,DC Comics,Zatanna,Zatanna Zatara,Female,Human,Good,90,10,25,30,100,55
